module,type,method,new_name
winrt.windows.ui.webui,WebUIApplication,add_new_web_u_i_view_created,add_new_web_ui_view_created
winrt.windows.ui.webui,WebUIApplication,remove_new_web_u_i_view_created,remove_new_web_ui_view_created
winrt.windows.ui.webui,WebUIView,add_d_o_m_content_loaded,add_dom_content_loaded
winrt.windows.ui.webui,WebUIView,remove_d_o_m_content_loaded,remove_dom_content_loaded
winrt.windows.ui.webui,WebUIView,add_frame_d_o_m_content_loaded,add_frame_dom_content_loaded
winrt.windows.ui.webui,WebUIView,remove_frame_d_o_m_content_loaded,remove_frame_dom_content_loaded
winrt.windows.gaming.input,UINavigationController,add_u_i_navigation_controller_added,add_ui_navigation_controller_added
winrt.windows.gaming.input,UINavigationController,remove_u_i_navigation_controller_added,remove_ui_navigation_controller_added
winrt.windows.gaming.input,UINavigationController,add_u_i_navigation_controller_removed,add_ui_navigation_controller_removed
winrt.windows.gaming.input,UINavigationController,remove_u_i_navigation_controller_removed,remove_ui_navigation_controller_removed
winrt.windows.graphics.printing.workflow,PrintWorkflowJobUISession,add_virtual_printer_u_i_data_available,add_virtual_printer_ui_data_available
winrt.windows.graphics.printing.workflow,PrintWorkflowJobUISession,remove_virtual_printer_u_i_data_available,remove_virtual_printer_ui_data_available
winrt.windows.storage.provider,IStorageProviderStatusUISource,add_status_u_i_changed,add_status_ui_changed
winrt.windows.storage.provider,IStorageProviderStatusUISource,remove_status_u_i_changed,remove_status_ui_changed
winrt.windows.storage.provider,CachedFileUpdaterUI,add_u_i_requested,add_ui_requested
winrt.windows.storage.provider,CachedFileUpdaterUI,remove_u_i_requested,remove_ui_requested
winrt.windows.web.ui,IWebViewControl,add_d_o_m_content_loaded,add_dom_content_loaded
winrt.windows.web.ui,IWebViewControl,remove_d_o_m_content_loaded,remove_dom_content_loaded
winrt.windows.web.ui,IWebViewControl,add_frame_d_o_m_content_loaded,add_frame_dom_content_loaded
winrt.windows.web.ui,IWebViewControl,remove_frame_d_o_m_content_loaded,remove_frame_dom_content_loaded
winrt.windows.web.ui.interop,WebViewControl,add_d_o_m_content_loaded,add_dom_content_loaded
winrt.windows.web.ui.interop,WebViewControl,remove_d_o_m_content_loaded,remove_dom_content_loaded
winrt.windows.web.ui.interop,WebViewControl,add_frame_d_o_m_content_loaded,add_frame_dom_content_loaded
winrt.windows.web.ui.interop,WebViewControl,remove_frame_d_o_m_content_loaded,remove_frame_dom_content_loaded
winrt.windows.ui.xaml.controls,WebView,add_d_o_m_content_loaded,add_dom_content_loaded
winrt.windows.ui.xaml.controls,WebView,remove_d_o_m_content_loaded,remove_dom_content_loaded
winrt.windows.ui.xaml.controls,WebView,add_frame_d_o_m_content_loaded,add_frame_dom_content_loaded
winrt.windows.ui.xaml.controls,WebView,remove_frame_d_o_m_content_loaded,remove_frame_dom_content_loaded
winrt.microsoft.web.webview2.core,CoreWebView2,add_d_o_m_content_loaded,add_dom_content_loaded
winrt.microsoft.web.webview2.core,CoreWebView2,remove_d_o_m_content_loaded,remove_dom_content_loaded
winrt.microsoft.web.webview2.core,CoreWebView2,add_save_as_u_i_showing,add_save_as_ui_showing
winrt.microsoft.web.webview2.core,CoreWebView2,remove_save_as_u_i_showing,remove_save_as_ui_showing
winrt.microsoft.web.webview2.core,CoreWebView2Frame,add_d_o_m_content_loaded,add_dom_content_loaded
winrt.microsoft.web.webview2.core,CoreWebView2Frame,remove_d_o_m_content_loaded,remove_dom_content_loaded
winrt.microsoft.ui.xaml.controls,WebView2,add_core_web_view2_initialized,add_core_webview2_initialized
winrt.microsoft.ui.xaml.controls,WebView2,remove_core_web_view2_initialized,remove_core_webview2_initialized
