module,type,method,num_args,new_name
winrt.microsoft.ui.composition,ColorKeyFrameAnimation,insert_key_frame,3,insert_key_frame_with_easing_function
winrt.microsoft.ui.composition,CompositionDrawingSurface,scroll_with_clip,3,scroll_rect_with_clip
winrt.microsoft.ui.composition,CompositionDrawingSurface,scroll,2,scroll_rect
winrt.microsoft.ui.composition,CompositionEasingFunction,create_step_easing_function,2,create_step_easing_function_with_step_count
winrt.microsoft.ui.composition,CompositionNineGridBrush,set_inset_scales,4,set_inset_scales_with_values
winrt.microsoft.ui.composition,CompositionNineGridBrush,set_insets,4,set_insets_with_values
winrt.microsoft.ui.composition,CompositionObject,start_animation_group_with_i_animation_object,2,start_animation_group_with_ianimation_object
winrt.microsoft.ui.composition,CompositionObject,start_animation_with_i_animation_object,3,start_animation_with_ianimation_object
winrt.microsoft.ui.composition,CompositionObject,start_animation,3,start_animation_with_controller
winrt.microsoft.ui.composition,Compositor,create_color_brush,1,create_color_brush_with_color
winrt.microsoft.ui.composition,Compositor,create_color_gradient_stop,2,create_color_gradient_stop_with_offset_and_color
winrt.microsoft.ui.composition,Compositor,create_effect_factory,2,create_effect_factory_with_properties
winrt.microsoft.ui.composition,Compositor,create_expression_animation,1,create_expression_animation_with_expression
winrt.microsoft.ui.composition,Compositor,create_geometric_clip,1,create_geometric_clip_with_geometry
winrt.microsoft.ui.composition,Compositor,create_inset_clip,4,create_inset_clip_with_insets
winrt.microsoft.ui.composition,Compositor,create_path_geometry,1,create_path_geometry_with_path
winrt.microsoft.ui.composition,Compositor,create_rectangle_clip,4,create_rectangle_clip_with_sides
winrt.microsoft.ui.composition,Compositor,create_rectangle_clip,8,create_rectangle_clip_with_sides_and_radius
winrt.microsoft.ui.composition,Compositor,create_redirect_visual,1,create_redirect_visual_with_source_visual
winrt.microsoft.ui.composition,Compositor,create_sprite_shape,1,create_sprite_shape_with_geometry
winrt.microsoft.ui.composition,Compositor,create_step_easing_function,1,create_step_easing_function_with_step_count
winrt.microsoft.ui.composition,Compositor,create_surface_brush,1,create_surface_brush_with_surface
winrt.microsoft.ui.composition,KeyFrameAnimation,insert_expression_key_frame,3,insert_expression_key_frame_with_easing_function
winrt.microsoft.ui.composition,PathKeyFrameAnimation,insert_key_frame,3,insert_key_frame_with_easing_function
winrt.microsoft.ui.composition,QuaternionKeyFrameAnimation,insert_key_frame,3,insert_key_frame_with_easing_function
winrt.microsoft.ui.composition,ScalarKeyFrameAnimation,insert_key_frame,3,insert_key_frame_with_easing_function
winrt.microsoft.ui.composition,Vector2KeyFrameAnimation,insert_key_frame,3,insert_key_frame_with_easing_function
winrt.microsoft.ui.composition,Vector3KeyFrameAnimation,insert_key_frame,3,insert_key_frame_with_easing_function
winrt.microsoft.ui.composition,Vector4KeyFrameAnimation,insert_key_frame,3,insert_key_frame_with_easing_function
winrt.microsoft.ui.composition.interactions,InteractionTracker,try_update_position_by,2,try_update_position_by_with_option
winrt.microsoft.ui.composition.interactions,InteractionTracker,try_update_position,2,try_update_position_with_option
winrt.microsoft.ui.composition.interactions,InteractionTracker,try_update_position,3,try_update_position_with_option
