module,type,property,new_name
winrt.microsoft.ui.input.dragdrop,DragOperation,drag_u_i_content_mode,drag_ui_content_mode
winrt.microsoft.ui.xaml,DragEventArgs,drag_u_i_override,drag_ui_override
winrt.microsoft.ui.xaml,DragStartingEventArgs,drag_u_i,drag_ui
winrt.microsoft.ui.xaml,LaunchActivatedEventArgs,u_w_p_launch_activated_event_args,uwp_launch_activated_event_args
winrt.microsoft.ui.xaml,UIElement,transform3_d_property,transform_3d_property
winrt.microsoft.ui.xaml,UIElement,transform3_d,transform_3d
winrt.microsoft.ui.xaml.controls,CleanUpVirtualizedItemEventArgs,u_i_element,ui_element
winrt.microsoft.ui.xaml.controls,WebView2,core_web_view2,core_webview2
winrt.microsoft.ui.xaml.controls.primitives,ItemsChangedEventArgs,item_u_i_count,item_ui_count
winrt.microsoft.web.webview2.core,CoreWebView2Controller,core_web_view2,core_webview2
winrt.microsoft.web.webview2.core,CoreWebView2EnvironmentOptions,allow_single_sign_on_using_o_s_primary_account,allow_single_sign_on_using_os_primary_account
winrt.microsoft.windows.applicationmodel.windowsappruntime,DeploymentInitializeOptions,on_error_show_u_i,on_error_show_ui
winrt.windows.ai.machinelearning,LearningModelDevice,direct3_d11_device,direct3d11_device
winrt.windows.applicationmodel.activation,CachedFileUpdaterActivatedEventArgs,cached_file_updater_u_i,cached_file_updater_ui
winrt.windows.applicationmodel.activation,ContactPickerActivatedEventArgs,contact_picker_u_i,contact_picker_ui
winrt.windows.applicationmodel.activation,FileOpenPickerActivatedEventArgs,file_open_picker_u_i,file_open_picker_ui
winrt.windows.applicationmodel.activation,FileSavePickerActivatedEventArgs,file_save_picker_u_i,file_save_picker_ui
winrt.windows.applicationmodel.activation,ICachedFileUpdaterActivatedEventArgs,cached_file_updater_u_i,cached_file_updater_ui
winrt.windows.applicationmodel.activation,IContactPickerActivatedEventArgs,contact_picker_u_i,contact_picker_ui
winrt.windows.applicationmodel.activation,IFileOpenPickerActivatedEventArgs,file_open_picker_u_i,file_open_picker_ui
winrt.windows.applicationmodel.activation,IFileSavePickerActivatedEventArgs,file_save_picker_u_i,file_save_picker_ui
winrt.windows.applicationmodel.activation,ILockScreenCallActivatedEventArgs,call_u_i,call_ui
winrt.windows.applicationmodel.activation,LockScreenCallActivatedEventArgs,call_u_i,call_ui
winrt.windows.applicationmodel.background,BluetoothLEAdvertisementPublisherTrigger,preferred_transmit_power_level_in_d_bm,preferred_transmit_power_level_in_dbm
winrt.windows.applicationmodel.datatransfer.dragdrop.core,CoreDragOperation,drag_u_i_content_mode,drag_ui_content_mode
winrt.windows.applicationmodel.email,EmailMessage,c_c,cc
winrt.windows.devices.bluetooth,BluetoothSignalStrengthFilter,in_range_threshold_in_d_bm,in_range_threshold_in_dbm
winrt.windows.devices.bluetooth,BluetoothSignalStrengthFilter,out_of_range_threshold_in_d_bm,out_of_range_threshold_in_dbm
winrt.windows.devices.bluetooth.advertisement,BluetoothLEAdvertisementPublisher,preferred_transmit_power_level_in_d_bm,preferred_transmit_power_level_in_dbm
winrt.windows.devices.bluetooth.advertisement,BluetoothLEAdvertisementPublisherStatusChangedEventArgs,selected_transmit_power_level_in_d_bm,selected_transmit_power_level_in_dbm
winrt.windows.devices.bluetooth.advertisement,BluetoothLEAdvertisementReceivedEventArgs,raw_signal_strength_in_d_bm,raw_signal_strength_in_dbm
winrt.windows.devices.bluetooth.advertisement,BluetoothLEAdvertisementReceivedEventArgs,transmit_power_level_in_d_bm,transmit_power_level_in_dbm
winrt.windows.devices.bluetooth.background,BluetoothLEAdvertisementPublisherTriggerDetails,selected_transmit_power_level_in_d_bm,selected_transmit_power_level_in_dbm
winrt.windows.devices.printers.extensions,Print3DWorkflow,device_i_d,device_id
winrt.windows.gaming.input,UINavigationController,u_i_navigation_controllers,ui_navigation_controllers
winrt.windows.gaming.ui,GameUIProviderActivatedEventArgs,game_u_i_args,game_ui_args
winrt.windows.globalization,CurrencyIdentifiers,a_e_d,aed
winrt.windows.globalization,CurrencyIdentifiers,a_f_n,afn
winrt.windows.globalization,CurrencyIdentifiers,a_l_l,all
winrt.windows.globalization,CurrencyIdentifiers,a_m_d,amd
winrt.windows.globalization,CurrencyIdentifiers,a_n_g,ang
winrt.windows.globalization,CurrencyIdentifiers,a_o_a,aoa
winrt.windows.globalization,CurrencyIdentifiers,a_r_s,ars
winrt.windows.globalization,CurrencyIdentifiers,a_u_d,aud
winrt.windows.globalization,CurrencyIdentifiers,a_w_g,awg
winrt.windows.globalization,CurrencyIdentifiers,a_z_n,azn
winrt.windows.globalization,CurrencyIdentifiers,b_a_m,bam
winrt.windows.globalization,CurrencyIdentifiers,b_b_d,bbd
winrt.windows.globalization,CurrencyIdentifiers,b_d_t,bdt
winrt.windows.globalization,CurrencyIdentifiers,b_g_n,bgn
winrt.windows.globalization,CurrencyIdentifiers,b_h_d,bhd
winrt.windows.globalization,CurrencyIdentifiers,b_i_f,bif
winrt.windows.globalization,CurrencyIdentifiers,b_m_d,bmd
winrt.windows.globalization,CurrencyIdentifiers,b_n_d,bnd
winrt.windows.globalization,CurrencyIdentifiers,b_o_b,bob
winrt.windows.globalization,CurrencyIdentifiers,b_r_l,brl
winrt.windows.globalization,CurrencyIdentifiers,b_s_d,bsd
winrt.windows.globalization,CurrencyIdentifiers,b_t_n,btn
winrt.windows.globalization,CurrencyIdentifiers,b_w_p,bwp
winrt.windows.globalization,CurrencyIdentifiers,b_y_n,byn
winrt.windows.globalization,CurrencyIdentifiers,b_y_r,byr
winrt.windows.globalization,CurrencyIdentifiers,b_z_d,bzd
winrt.windows.globalization,CurrencyIdentifiers,c_a_d,cad
winrt.windows.globalization,CurrencyIdentifiers,c_d_f,cdf
winrt.windows.globalization,CurrencyIdentifiers,c_h_f,chf
winrt.windows.globalization,CurrencyIdentifiers,c_l_p,clp
winrt.windows.globalization,CurrencyIdentifiers,c_n_y,cny
winrt.windows.globalization,CurrencyIdentifiers,c_o_p,cop
winrt.windows.globalization,CurrencyIdentifiers,c_r_c,crc
winrt.windows.globalization,CurrencyIdentifiers,c_u_p,cup
winrt.windows.globalization,CurrencyIdentifiers,c_v_e,cve
winrt.windows.globalization,CurrencyIdentifiers,c_z_k,czk
winrt.windows.globalization,CurrencyIdentifiers,d_j_f,djf
winrt.windows.globalization,CurrencyIdentifiers,d_k_k,dkk
winrt.windows.globalization,CurrencyIdentifiers,d_o_p,dop
winrt.windows.globalization,CurrencyIdentifiers,d_z_d,dzd
winrt.windows.globalization,CurrencyIdentifiers,e_g_p,egp
winrt.windows.globalization,CurrencyIdentifiers,e_r_n,ern
winrt.windows.globalization,CurrencyIdentifiers,e_t_b,etb
winrt.windows.globalization,CurrencyIdentifiers,e_u_r,eur
winrt.windows.globalization,CurrencyIdentifiers,f_j_d,fjd
winrt.windows.globalization,CurrencyIdentifiers,f_k_p,fkp
winrt.windows.globalization,CurrencyIdentifiers,g_b_p,gbp
winrt.windows.globalization,CurrencyIdentifiers,g_e_l,gel
winrt.windows.globalization,CurrencyIdentifiers,g_h_s,ghs
winrt.windows.globalization,CurrencyIdentifiers,g_i_p,gip
winrt.windows.globalization,CurrencyIdentifiers,g_m_d,gmd
winrt.windows.globalization,CurrencyIdentifiers,g_n_f,gnf
winrt.windows.globalization,CurrencyIdentifiers,g_t_q,gtq
winrt.windows.globalization,CurrencyIdentifiers,g_y_d,gyd
winrt.windows.globalization,CurrencyIdentifiers,h_k_d,hkd
winrt.windows.globalization,CurrencyIdentifiers,h_n_l,hnl
winrt.windows.globalization,CurrencyIdentifiers,h_r_k,hrk
winrt.windows.globalization,CurrencyIdentifiers,h_t_g,htg
winrt.windows.globalization,CurrencyIdentifiers,h_u_f,huf
winrt.windows.globalization,CurrencyIdentifiers,i_d_r,idr
winrt.windows.globalization,CurrencyIdentifiers,i_l_s,ils
winrt.windows.globalization,CurrencyIdentifiers,i_n_r,inr
winrt.windows.globalization,CurrencyIdentifiers,i_q_d,iqd
winrt.windows.globalization,CurrencyIdentifiers,i_r_r,irr
winrt.windows.globalization,CurrencyIdentifiers,i_s_k,isk
winrt.windows.globalization,CurrencyIdentifiers,j_m_d,jmd
